Date,Open,High,Low,Close,,OpenToHigh%,OpenToLow%,OpenToClose%,OpenToHigh,OpenToLow,OpenToClose
10-Nov-20,28039.45,28802.5,27916.9,28606,,2.721344392,-0.437062781,2.020546052,763.05,-122.55,566.55
09-Nov-20,27088.95,27595,27068.95,27534.1,,1.868104891,-0.073830842,1.643289976,506.05,-20,445.15
06-Nov-20,26274.1,26853.45,26135.3,26798.95,,2.205023198,-0.528276896,1.997594589,579.35,-138.8,524.85
05-Nov-20,26174.8,26375.2,26000.05,26313.1,,0.765621896,-0.667626878,0.528370799,200.4,-174.75,138.3
04-Nov-20,25539.55,25891,25142,25771.6,,1.376100988,-1.556605343,0.908590793,351.45,-397.55,232.05
03-Nov-20,25108,25760.7,25085.7,25682.8,,2.599569858,-0.088816314,2.28931018,652.7,-22.3,574.8
02-Nov-20,24367.6,25139,24120.6,24892.5,,3.165679016,-1.013641064,2.154089857,771.4,-247,524.9
30-Oct-20,24090.15,24277.35,23612.7,23900.9,,0.777081089,-1.981930374,-0.785590791,187.2,-477.45,-189.25
29-Oct-20,24063.5,24339.1,23822.05,24092,,1.145303052,-1.003386872,0.118436636,275.6,-241.45,28.5
28-Oct-20,24737.85,24780.7,24057.95,24232.5,,0.173216347,-2.748419931,-2.042821021,42.85,-679.9,-505.35
27-Oct-20,24288.05,24809.65,23924.2,24769.5,,2.147558161,-1.498061804,1.982250531,521.6,-363.85,481.45
26-Oct-20,24525.8,24577.3,23867.75,24075.45,,0.209982957,-2.683092906,-1.836229603,51.5,-658.05,-450.35
23-Oct-20,24669.2,24764.15,24360.85,24478.3,,0.384892903,-1.249939195,-0.773839444,94.95,-308.35,-190.9
22-Oct-20,24447.35,24691.15,24250.2,24484.15,,0.9972451,-0.806426872,0.150527562,243.8,-197.15,36.8
21-Oct-20,24444.2,24823.6,24099.85,24635.05,,1.55210643,-1.408718633,0.780757808,379.4,-344.35,190.85
20-Oct-20,24117.35,24410.9,24039.85,24311.8,,1.217173529,-0.321345421,0.806266028,293.55,-77.5,194.45
19-Oct-20,23902.9,24320.95,23754.85,24266.75,,1.748950964,-0.619380912,1.522200235,418.05,-148.05,363.85
16-Oct-20,23219.85,23646.2,23148.95,23533.25,,1.836144506,-0.305342196,1.349707255,426.35,-70.9,313.4
15-Oct-20,23920.35,24087.85,22970.95,23072.4,,0.70024059,-3.96900547,-3.544889602,167.5,-949.4,-847.95
14-Oct-20,23353.15,23962.7,23149.45,23874.65,,2.610140388,-0.872259203,2.233103457,609.55,-203.7,521.5
13-Oct-20,23663.05,23775.15,23431.5,23492.2,,0.473734366,-0.978529818,-0.722011744,112.1,-231.55,-170.85
12-Oct-20,23955.6,24190.35,23552.6,23712.8,,0.979937885,-1.682278883,-1.013541719,234.75,-403,-242.8
09-Oct-20,23312.6,23904.1,23132.45,23846.8,,2.537254532,-0.772758079,2.291464701,591.5,-180.15,534.2
08-Oct-20,23150.25,23450.9,23063.6,23191.35,,1.298690079,-0.374294014,0.17753588,300.65,-86.65,41.1
07-Oct-20,22836.95,23036.2,22607.8,22964.8,,0.87248954,-1.003417707,0.559838332,199.25,-229.15,127.85
06-Oct-20,22673.05,22893.5,22521.05,22853.7,,0.972299713,-0.670399439,0.796760912,220.45,-152,180.65
05-Oct-20,22352.1,22768.55,22247.25,22370.95,,1.863135902,-0.469083442,0.084332121,416.45,-104.85,18.85
01-Oct-20,21685.25,22293.75,21664.15,22246,,2.806054807,-0.097301161,2.585859052,608.5,-21.1,560.75
30-Sep-20,21405.25,21549.35,21128.5,21451.8,,0.673199332,-1.292907114,0.217470013,144.1,-276.75,46.55
29-Sep-20,21770.9,21811.5,21280.6,21411.3,,0.186487467,-2.252088797,-1.651746138,40.6,-490.3,-359.6
28-Sep-20,21152.05,21708.85,21055.1,21665.5,,2.632368967,-0.458348009,2.427424292,556.8,-96.95,513.45
25-Sep-20,20740.8,21064.3,20430.7,20982.35,,1.559727686,-1.495120728,1.164612744,323.5,-310.1,241.55
24-Sep-20,20898.8,20955.6,20404.9,20456.85,,0.27178594,-2.363293586,-2.11471472,56.8,-493.9,-441.95
23-Sep-20,21350.8,21365.05,20821,21178.5,,0.06674223,-2.481405849,-0.806995522,14.25,-529.8,-172.3
22-Sep-20,21445.25,21473.35,20958.45,21139.1,,0.131031347,-2.269966543,-1.42758886,28.1,-486.8,-306.15
21-Sep-20,21983.4,22098.85,21274.3,21366.8,,0.525168991,-3.225615692,-2.804843655,115.45,-709.1,-616.6
18-Sep-20,22439.35,22469.4,21784.9,22031.05,,0.133916535,-2.916528331,-1.819571423,30.05,-654.45,-408.3
17-Sep-20,22352,22504.45,22267.05,22320.35,,0.682041875,-0.380055476,-0.141598067,152.45,-84.95,-31.65
